ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide9-C8-1__phase_analysis,signal:0003-0037,120.0,106.835289256,268.594,2991.0,2823.0,4216.0,780.831,36.816,0.552,12820.2347107,68.5852892562,12820.2347107,3.084,0.324,0.782
slide9-C8-1__phase_analysis,signal:0004-0040,149.0,144.283289256,310.077,3030.0,2620.0,4192.0,748.755,40.332,0.466,21498.2080992,99.5852892562,21498.2080992,3.113,0.321,0.722
slide9-C8-1__phase_analysis,signal:0006-0046,77.0,165.962289256,329.557,3357.0,2591.0,4220.0,898.881,46.829,0.657,12779.0672727,98.5852892562,12779.0672727,2.271,0.44,0.875
slide9-C8-1__phase_analysis,signal:0007-0050,101.0,126.377289256,272.44,3292.0,2814.0,4228.0,814.454,50.488,0.599,12764.1142149,116.585289256,12764.1142149,2.775,0.36,0.849
slide9-C8-1__phase_analysis,signal:0008-0047,82.0,540.036289256,482.222,3531.0,2713.0,4796.0,881.6,47.75,0.778,44282.993719,529.585289256,44282.993719,2.235,0.447,0.916
slide9-C8-1__phase_analysis,signal:0009-0063,200.0,318.965289256,439.404,3075.0,2658.0,4816.0,967.584,62.284,0.584,63793.0578512,264.585289256,63793.0578512,2.285,0.438,0.862
slide9-C8-1__phase_analysis,signal:0010-0065,248.0,249.698289256,319.479,2986.0,2761.0,4556.0,378.053,64.299,0.314,61925.1517355,267.585289256,61925.1517355,1.809,0.553,0.649
slide9-C8-1__phase_analysis,signal:0012-0079,147.0,323.612289256,390.403,3326.0,2753.0,4647.0,437.406,81.061,0.432,47571.0375207,329.585289256,47571.0375207,1.399,0.715,0.673
slide9-C8-1__phase_analysis,signal:0014-0102,227.0,54.7882892562,244.904,3212.0,2718.0,3998.0,132.785,102.725,0.614,12436.8606612,38.5852892562,12436.8606612,2.282,0.438,0.863
slide9-C8-1__phase_analysis,signal:0015-0099,115.0,162.115289256,283.184,3680.0,2696.0,4309.0,830.043,99.125,0.558,18643.3082645,172.585289256,18643.3082645,2.997,0.334,0.852
slide9-C8-1__phase_analysis,signal:0016-0113,91.0,160.211289256,336.544,3638.0,2868.0,4612.0,361.611,112.665,0.637,14579.2613223,114.585289256,14579.2613223,2.755,0.363,0.883
slide9-C8-1__phase_analysis,signal:0017-0116,125.0,84.1132892562,298.422,3047.0,2820.0,4134.0,421.269,117.468,0.432,10514.161157,104.585289256,10514.161157,3.554,0.281,0.693
slide9-C8-1__phase_analysis,signal:0019-0127,186.0,363.354289256,346.24,3610.0,2860.0,4553.0,835.455,125.173,0.359,67583.8638017,347.585289256,67583.8638017,2.767,0.361,0.59
slide9-C8-1__phase_analysis,signal:0021-0137,93.0,158.660289256,276.624,3196.0,2706.0,4007.0,727.849,137.03,0.587,14755.4319008,123.585289256,14755.4319008,2.977,0.336,0.849
slide9-C8-1__phase_analysis,signal:0022-0138,243.0,636.359289256,386.585,3222.0,2911.0,5005.0,637.111,139.222,0.456,154635.225289,659.585289256,154635.225289,3.11,0.322,0.778
slide9-C8-1__phase_analysis,signal:0023-0154,128.0,131.093289256,293.131,3163.0,2734.0,4199.0,567.821,153.58,0.329,16779.9170248,109.585289256,16779.9170248,4.522,0.221,0.645
slide9-C8-1__phase_analysis,signal:0024-0150,102.0,56.0562892562,262.149,3052.0,2647.0,3869.0,291.017,149.33,0.526,5717.69950413,97.5852892562,5717.69950413,3.544,0.282,0.803
slide9-C8-1__phase_analysis,signal:0025-0156,115.0,92.7762892562,305.408,3339.0,2695.0,4112.0,392.123,157.144,0.447,10669.3082645,101.585289256,10669.3082645,4.121,0.243,0.796
slide9-C8-1__phase_analysis,signal:0026-0164,232.0,125.839289256,269.925,3439.0,2689.0,4144.0,220.864,163.287,0.713,29194.7871074,122.585289256,29194.7871074,2.089,0.479,0.899
slide9-C8-1__phase_analysis,signal:0027-0166,143.0,195.047289256,292.73,3357.0,2826.0,4590.0,748.699,167.541,0.409,27891.6963636,135.585289256,27891.6963636,4.182,0.239,0.694
slide9-C8-1__phase_analysis,signal:0028-0169,132.0,226.729289256,328.642,3174.0,2732.0,4554.0,934.199,170.351,0.429,29928.2581818,199.585289256,29928.2581818,3.334,0.3,0.658
slide9-C8-1__phase_analysis,signal:0030-0184,217.0,462.336289256,423.541,3180.0,2787.0,4918.0,566.642,183.716,0.411,100327.007769,434.585289256,100327.007769,2.604,0.384,0.665
slide9-C8-1__phase_analysis,signal:0031-0184,150.0,290.778289256,302.882,3190.0,2847.0,4363.0,978.717,182.501,0.375,43616.7933884,293.585289256,43616.7933884,3.845,0.26,0.654
slide9-C8-1__phase_analysis,signal:0033-0194,175.0,285.459289256,323.746,3261.0,2666.0,4405.0,671.882,193.125,0.358,49955.4256198,266.585289256,49955.4256198,4.43,0.226,0.713
slide9-C8-1__phase_analysis,signal:0034-0205,147.0,449.918289256,393.825,3431.0,2862.0,4756.0,631.159,205.74,0.408,66138.0375207,423.585289256,66138.0375207,1.371,0.73,0.664
slide9-C8-1__phase_analysis,signal:0035-0225,72.0,419.918289256,349.363,3257.0,3077.0,4447.0,768.411,225.285,0.683,30234.1408264,394.585289256,30234.1408264,2.524,0.396,0.857
slide9-C8-1__phase_analysis,signal:0036-0234,130.0,292.139289256,358.652,3391.0,2808.0,4771.0,651.091,235.372,0.407,37978.0876033,262.585289256,37978.0876033,3.797,0.263,0.677
slide9-C8-1__phase_analysis,signal:0037-0228,96.0,285.418289256,356.866,3233.0,2809.0,4570.0,302.997,228.489,0.505,27400.1877686,294.585289256,27400.1877686,3.325,0.301,0.771
slide9-C8-1__phase_analysis,signal:0038-0243,190.0,263.317289256,336.941,3084.0,2876.0,4432.0,401.857,241.462,0.292,50030.2049587,218.585289256,50030.2049587,4.474,0.223,0.66
slide9-C8-1__phase_analysis,signal:0039-0241,100.0,222.905289256,314.265,3027.0,2844.0,4179.0,471.182,241.447,0.486,22290.5289256,191.585289256,22290.5289256,3.486,0.287,0.76
slide9-C8-1__phase_analysis,signal:0040-0246,93.0,104.058289256,274.369,2971.0,2888.0,4248.0,234.312,245.49,0.566,9677.43190083,59.5852892562,9677.43190083,2.739,0.365,0.809
slide9-C8-1__phase_analysis,signal:0041-0255,105.0,307.852289256,393.651,3092.0,2801.0,4480.0,518.596,253.764,0.47,32324.4553719,215.585289256,32324.4553719,4.134,0.242,0.761
slide9-C8-1__phase_analysis,signal:0043-0260,177.0,650.105289256,393.847,3396.0,2949.0,4898.0,487.561,258.898,0.48,115068.596198,667.585289256,115068.596198,2.737,0.365,0.748
slide9-C8-1__phase_analysis,signal:0044-0264,114.0,342.831289256,365.366,3397.0,2858.0,4859.0,787.825,265.88,0.423,39082.7229752,276.585289256,39082.7229752,3.299,0.303,0.671
slide9-C8-1__phase_analysis,signal:0047-0290,114.0,100.620289256,253.439,3327.0,2871.0,3968.0,222.726,289.985,0.513,11470.7229752,110.585289256,11470.7229752,3.369,0.297,0.786
slide9-C8-1__phase_analysis,signal:0048-0286,77.0,433.403289256,356.249,3648.0,2934.0,4670.0,540.327,286.757,0.596,33372.0672727,386.585289256,33372.0672727,2.723,0.367,0.778
slide9-C8-1__phase_analysis,signal:0049-0290,141.0,491.918289256,355.333,4095.0,2939.0,4908.0,635.871,289.23,0.438,69360.5257851,496.585289256,69360.5257851,1.576,0.635,0.736
slide9-C8-1__phase_analysis,signal:0050-0293,101.0,201.753289256,258.144,3316.0,2920.0,4212.0,326.419,293.223,0.444,20377.1142149,203.585289256,20377.1142149,3.792,0.264,0.759
slide9-C8-1__phase_analysis,signal:0051-0306,128.0,222.452289256,293.892,3094.0,2860.0,4362.0,968.276,307.048,0.466,28473.9170248,164.585289256,28473.9170248,3.376,0.296,0.753
slide9-C8-1__phase_analysis,signal:0052-0313,234.0,385.594289256,351.034,3165.0,2855.0,4779.0,936.112,311.927,0.246,90228.957686,329.585289256,90228.957686,1.206,0.829,0.515
slide9-C8-1__phase_analysis,signal:0054-0320,225.0,428.683289256,328.893,3418.0,2714.0,4637.0,348.1,322.945,0.432,96453.6900826,406.585289256,96453.6900826,3.233,0.309,0.721
slide9-C8-1__phase_analysis,signal:0055-0338,75.0,571.772289256,377.913,3259.0,2995.0,4628.0,511.053,338.221,0.546,42882.8966942,561.585289256,42882.8966942,3.476,0.288,0.867
slide9-C8-1__phase_analysis,signal:0056-0347,146.0,210.167289256,279.032,3118.0,2813.0,4341.0,209.407,347.317,0.591,30684.4522314,202.585289256,30684.4522314,2.38,0.42,0.823
slide9-C8-1__phase_analysis,signal:0057-0345,129.0,549.988289256,476.608,3231.0,2989.0,4827.0,797.279,347.014,0.665,70948.502314,462.585289256,70948.502314,1.703,0.587,0.814
slide9-C8-1__phase_analysis,signal:0058-0358,175.0,308.699289256,326.847,3065.0,2722.0,4680.0,278.644,360.436,0.538,54022.4256198,323.585289256,54022.4256198,2.66,0.376,0.81
slide9-C8-1__phase_analysis,signal:0059-0355,75.0,260.638289256,324.587,3390.0,2930.0,4265.0,623.423,355.096,0.613,19547.8966942,190.585289256,19547.8966942,2.747,0.364,0.843
slide9-C8-1__phase_analysis,signal:0060-0357,111.0,524.144289256,331.292,3540.0,2776.0,4552.0,667.823,357.913,0.478,58179.9671074,515.585289256,58179.9671074,3.77,0.265,0.755
slide9-C8-1__phase_analysis,signal:0061-0358,79.0,615.648289256,379.976,3957.0,2853.0,4581.0,432.624,358.826,0.538,48636.2378512,696.585289256,48636.2378512,3.572,0.28,0.836
slide9-C8-1__phase_analysis,signal:0062-0365,98.0,46.7182892562,261.202,3006.0,2589.0,3841.0,165.227,365.659,0.618,4578.35834711,79.5852892562,4578.35834711,2.712,0.369,0.852
slide9-C8-1__phase_analysis,signal:0063-0374,106.0,140.047289256,253.44,3120.0,2892.0,4171.0,226.585,374.697,0.55,14845.0406612,145.585289256,14845.0406612,3.265,0.306,0.876
slide9-C8-1__phase_analysis,signal:0064-0388,93.0,263.058289256,333.841,3280.0,2788.0,4236.0,297.281,388.404,0.572,24464.4319008,223.585289256,24464.4319008,3.177,0.315,0.827
slide9-C8-1__phase_analysis,signal:0065-0391,78.0,50.8162892562,200.779,3074.0,2911.0,3765.0,153.985,391.31,0.555,3963.65256198,30.5852892562,3963.65256198,2.71,0.369,0.792
slide9-C8-1__phase_analysis,signal:0066-0392,97.0,175.905289256,253.16,3635.0,2876.0,4076.0,837.277,392.18,0.596,17062.7730579,170.585289256,17062.7730579,2.953,0.339,0.87
slide9-C8-1__phase_analysis,signal:0067-0399,199.0,326.243289256,323.691,3330.0,2862.0,4676.0,990.013,400.316,0.543,64922.472562,294.585289256,64922.472562,2.169,0.461,0.777
slide9-C8-1__phase_analysis,signal:0070-0432,63.0,471.220289256,395.308,3479.0,2966.0,4626.0,437.208,432.808,0.67,29686.8732231,462.585289256,29686.8732231,2.776,0.36,0.863
slide9-C8-1__phase_analysis,signal:0071-0445,100.0,407.165289256,307.162,3545.0,2811.0,4399.0,453.864,446.328,0.405,40716.5289256,376.585289256,40716.5289256,4.003,0.25,0.683
slide9-C8-1__phase_analysis,signal:0072-0447,93.0,470.994289256,326.35,3151.0,2985.0,4527.0,706.029,448.155,0.496,43802.4319008,444.585289256,43802.4319008,3.782,0.264,0.769
slide9-C8-1__phase_analysis,signal:0073-0465,73.0,464.256289256,456.526,2958.0,2958.0,4662.0,534.206,465.994,0.586,33890.7261157,398.585289256,33890.7261157,3.076,0.325,0.869
slide9-C8-1__phase_analysis,signal:0074-0470,90.0,217.252289256,267.585,3145.0,2926.0,4449.0,971.562,470.169,0.647,19552.6760331,177.585289256,19552.6760331,2.719,0.368,0.9
slide9-C8-1__phase_analysis,signal:0075-0469,173.0,459.417289256,321.905,3353.0,2707.0,4543.0,341.837,469.226,0.716,79479.2550413,451.585289256,79479.2550413,2.255,0.444,0.874
slide9-C8-1__phase_analysis,signal:0076-0474,181.0,778.215289256,414.538,3346.0,2920.0,5063.0,799.712,474.718,0.434,140856.937355,812.585289256,140856.937355,3.492,0.286,0.693
slide9-C8-1__phase_analysis,signal:0077-0475,68.0,75.2172892562,250.561,3240.0,2636.0,3962.0,207.384,475.703,0.629,5114.79966942,83.5852892562,5114.79966942,2.717,0.368,0.814
slide9-C8-1__phase_analysis,signal:0078-0495,97.0,142.204289256,246.462,3183.0,2946.0,4134.0,154.443,494.001,0.505,13793.7730579,137.585289256,13793.7730579,3.637,0.275,0.782
slide9-C8-1__phase_analysis,signal:0079-0515,231.0,361.910289256,393.896,3490.0,2814.0,5337.0,418.687,514.068,0.214,83601.2018182,330.585289256,83601.2018182,6.175,0.162,0.574
slide9-C8-1__phase_analysis,signal:0080-0503,74.0,250.180289256,284.798,3061.0,3061.0,4380.0,797.307,503.637,0.612,18513.311405,206.585289256,18513.311405,2.963,0.337,0.865
slide9-C8-1__phase_analysis,signal:0082-0517,70.0,96.0992892562,299.948,3079.0,2793.0,4060.0,326.972,517.261,0.644,6726.97024793,40.5852892562,6726.97024793,2.808,0.356,0.854
slide9-C8-1__phase_analysis,signal:0083-0554,119.0,114.593289256,260.088,3074.0,2725.0,4107.0,193.866,553.133,0.497,13636.6494215,71.5852892562,13636.6494215,3.367,0.297,0.765
slide9-C8-1__phase_analysis,signal:0084-0563,154.0,346.293289256,358.673,3094.0,2903.0,4585.0,330.554,563.139,0.442,53329.1345455,328.585289256,53329.1345455,3.77,0.265,0.76
slide9-C8-1__phase_analysis,signal:0085-0564,73.0,691.270289256,423.724,4161.0,2985.0,4923.0,700.131,564.099,0.579,50462.7261157,729.585289256,50462.7261157,2.876,0.348,0.807
