ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide3-C2-1__phase_analysis,signal:0001-0010,86.0,54.7382264151,179.459,1029.0,968.0,1647.0,545.92,8.81,0.622,4707.4854717,23.8312264151,4707.4854717,2.699,0.371,0.804
slide3-C2-1__phase_analysis,signal:0002-0020,88.0,75.7972264151,143.485,1157.0,957.0,1632.0,478.723,20.448,0.595,6670.14792453,67.8312264151,6670.14792453,2.814,0.355,0.811
slide3-C2-1__phase_analysis,signal:0003-0021,136.0,110.096226415,170.382,1197.0,979.0,1802.0,265.946,21.675,0.39,14973.0467925,93.8312264151,14973.0467925,3.943,0.254,0.678
slide3-C2-1__phase_analysis,signal:0005-0040,96.0,128.633226415,188.559,1275.0,1030.0,1768.0,391.831,39.79,0.59,12348.7977358,144.831226415,12348.7977358,3.207,0.312,0.838
slide3-C2-1__phase_analysis,signal:0006-0043,119.0,199.722226415,158.135,1368.0,991.0,1794.0,542.869,43.428,0.424,23766.9159434,196.831226415,23766.9159434,4.192,0.239,0.708
slide3-C2-1__phase_analysis,signal:0007-0040,106.0,38.4352264151,123.933,1109.0,1034.0,1533.0,527.121,40.263,0.532,4074.11,60.8312264151,4074.11,3.081,0.325,0.782
slide3-C2-1__phase_analysis,signal:0008-0053,112.0,100.715226415,162.03,1191.0,1050.0,1820.0,904.918,53.859,0.504,11280.0973585,92.8312264151,11280.0973585,3.219,0.311,0.739
slide3-C2-1__phase_analysis,signal:0010-0066,132.0,85.2402264151,164.596,1159.0,1030.0,1661.0,702.708,66.802,0.469,11251.7218868,69.8312264151,11251.7218868,3.722,0.269,0.776
slide3-C2-1__phase_analysis,signal:0011-0063,137.0,128.546226415,159.752,1066.0,1016.0,1745.0,673.252,64.311,0.418,17610.8780189,135.831226415,17610.8780189,3.215,0.311,0.63
slide3-C2-1__phase_analysis,signal:0013-0068,91.0,24.6442264151,146.704,1117.0,951.0,1674.0,544.098,68.513,0.562,2242.64160377,-6.16877358491,2242.64160377,3.456,0.289,0.824
slide3-C2-1__phase_analysis,signal:0016-0072,69.0,29.7592264151,155.637,1116.0,1013.0,1589.0,518.557,72.257,0.759,2053.35462264,-29.1687735849,2053.35462264,2.315,0.432,0.862
slide3-C2-1__phase_analysis,signal:0019-0091,95.0,73.8842264151,147.948,1115.0,1051.0,1740.0,478.034,90.754,0.606,7018.96650943,53.8312264151,7018.96650943,2.883,0.347,0.852
slide3-C2-1__phase_analysis,signal:0021-0094,117.0,82.0622264151,171.943,1127.0,1040.0,1785.0,618.476,93.754,0.516,9601.25349057,44.8312264151,9601.25349057,3.559,0.281,0.748
slide3-C2-1__phase_analysis,signal:0022-0098,141.0,131.519226415,160.868,1439.0,1027.0,1684.0,799.905,97.131,0.43,18544.2029245,108.831226415,18544.2029245,2.514,0.398,0.624
slide3-C2-1__phase_analysis,signal:0024-0098,103.0,227.015226415,271.449,1158.0,1076.0,2241.0,631.722,97.212,0.491,23382.6163208,186.831226415,23382.6163208,3.581,0.279,0.733
slide3-C2-1__phase_analysis,signal:0025-0093,106.0,69.7562264151,156.823,1190.0,974.0,1632.0,563.115,93.425,0.577,7394.11,71.8312264151,7394.11,2.865,0.349,0.803
slide3-C2-1__phase_analysis,signal:0031-0120,73.0,27.1872264151,132.528,1141.0,1022.0,1595.0,579.106,120.002,0.74,1984.6795283,5.83122641509,1984.6795283,2.44,0.41,0.885
slide3-C2-1__phase_analysis,signal:0032-0119,108.0,82.6552264151,169.157,1357.0,1038.0,1626.0,432.697,119.264,0.588,8926.77245283,78.8312264151,8926.77245283,3.044,0.328,0.84
slide3-C2-1__phase_analysis,signal:0033-0125,75.0,131.271226415,195.274,1165.0,1020.0,1897.0,632.425,125.128,0.64,9845.34198113,109.831226415,9845.34198113,2.881,0.347,0.843
slide3-C2-1__phase_analysis,signal:0034-0124,68.0,196.360226415,162.309,1415.0,1073.0,1756.0,612.152,124.219,0.703,13352.5233962,221.831226415,13352.5233962,2.621,0.381,0.85
