label,mean IntDen,std IntDen,mean AvgDen,std AvgDen,numCells
Slide6-pccrM5,16924.610045,15891.5800774,138.423437569,92.1198661108,87
Slide3-PccrM6,13575.9619343,4003.73254535,107.526823446,15.2777274884,24
Slide4-PccrM7,22733.0801569,11142.086592,177.595421944,73.4261024255,306
Slide5-pccrM8,18067.224178,8726.58528802,142.645275453,48.3859640425,371
