ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide7-C6-1__phase_analysis,signal:0041-0119,158.0,448.16692144,1784.427,3427.0,2599.0,14617.0,918.956,116.167,0.396,70810.4475876,-56.6300785597,70810.4475876,3.13,0.319,0.638
slide7-C6-1__phase_analysis,signal:0175-0447,88.0,66.4269214403,382.357,3493.0,2908.0,4664.0,832.274,447.031,0.588,5845.55308674,127.36992144,5845.55308674,3.052,0.328,0.8
slide7-C6-1__phase_analysis,signal:0189-0473,129.0,38.8889214403,304.949,3030.0,2916.0,4311.0,639.389,471.092,0.316,5016.71986579,15.3699214403,5016.71986579,2.935,0.341,0.54
slide7-C6-1__phase_analysis,signal:0235-0563,106.0,47.2849214403,348.343,3317.0,2818.0,4528.0,646.696,563.094,0.454,5012.21167267,38.3699214403,5012.21167267,2.683,0.373,0.669
slide7-C6-1__phase_analysis,signal:0259-0621,75.0,53.3569214403,403.148,3800.0,2830.0,4475.0,568.58,620.945,0.681,4001.74410802,67.3699214403,4001.74410802,2.623,0.381,0.909
slide7-C6-2__phase_analysis,signal:0181-0433,177.0,94.9119214403,398.728,3377.0,2681.0,4904.0,586.65,434.327,0.295,16799.4760949,113.36992144,16799.4760949,1.908,0.524,0.532
slide7-C6-2__phase_analysis,signal:0193-0452,168.0,72.8579214403,322.01,3558.0,2762.0,4776.0,504.351,450.47,0.261,12240.146802,98.3699214403,12240.146802,1.54,0.649,0.564
slide7-C6-2__phase_analysis,signal:0237-0566,78.0,109.98492144,338.451,4045.0,3031.0,4546.0,591.021,565.137,0.519,8578.85387234,136.36992144,8578.85387234,3.741,0.267,0.792
slide7-C6-3__phase_analysis,signal:0080-0205,84.0,107.67992144,439.084,3328.0,2813.0,4577.0,786.844,204.688,0.6,9045.07340098,126.36992144,9045.07340098,3.275,0.305,0.828
slide7-C6-3__phase_analysis,signal:0289-0709,53.0,57.2189214403,382.35,4255.0,2842.0,4331.0,905.398,709.73,0.75,3032.60583633,41.3699214403,3032.60583633,2.367,0.422,0.862
