ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Slide5-pccrM8-1__phase_analysis,signal:0074-0246,81.0,778.072539604,343.608,1924.0,1924.0,3210.0,271.369,246.38,0.759,63023.8617079,753.578539604,63023.8617079,2.23,0.449,0.885
Slide5-pccrM8-1__phase_analysis,signal:0075-0256,241.0,158.611539604,116.213,1988.0,1685.0,2362.0,485.198,255.753,0.547,38225.4280446,155.578539604,38225.4280446,2.243,0.446,0.759
Slide5-pccrM8-1__phase_analysis,signal:0076-0263,142.0,120.592539604,112.054,1853.0,1699.0,2290.0,544.977,265.134,0.388,17124.1526238,116.578539604,17124.1526238,3.552,0.282,0.662
Slide5-pccrM8-1__phase_analysis,signal:0077-0271,135.0,121.548539604,127.185,1979.0,1651.0,2247.0,770.167,270.517,0.423,16409.1028465,109.578539604,16409.1028465,3.417,0.293,0.655
Slide5-pccrM8-1__phase_analysis,signal:0078-0267,111.0,153.155539604,126.256,1877.0,1636.0,2403.0,872.468,266.923,0.557,17000.217896,158.578539604,17000.217896,3.089,0.324,0.796
Slide5-pccrM8-1__phase_analysis,signal:0079-0287,211.0,116.090539604,108.473,1908.0,1714.0,2235.0,435.95,287.245,0.248,24495.0718564,115.578539604,24495.0718564,7.381,0.135,0.641
Slide5-pccrM8-1__phase_analysis,signal:0080-0276,140.0,134.278539604,120.301,1875.0,1668.0,2321.0,809.22,275.278,0.478,18798.9955446,126.578539604,18798.9955446,4.362,0.229,0.787
Slide5-pccrM8-1__phase_analysis,signal:0082-0278,96.0,209.557539604,139.19,1997.0,1717.0,2366.0,500.139,278.768,0.575,20117.539802,196.578539604,20117.539802,3.079,0.325,0.824
Slide5-pccrM8-1__phase_analysis,signal:0083-0281,125.0,146.186539604,124.054,2090.0,1685.0,2280.0,759.957,281.708,0.402,18273.3174505,148.578539604,18273.3174505,3.751,0.267,0.685
Slide5-pccrM8-1__phase_analysis,signal:0084-0299,175.0,195.967539604,129.856,1955.0,1652.0,2423.0,650.685,298.193,0.394,34294.2444307,193.578539604,34294.2444307,3.878,0.258,0.64
Slide5-pccrM8-1__phase_analysis,signal:0085-0296,84.0,178.304539604,133.297,2108.0,1759.0,2361.0,732.089,296.551,0.611,14977.5973267,185.578539604,14977.5973267,3.059,0.327,0.908
Slide5-pccrM8-1__phase_analysis,signal:0086-0303,168.0,128.983539604,121.178,1902.0,1715.0,2341.0,936.171,305.145,0.329,21669.1946535,124.578539604,21669.1946535,3.979,0.251,0.594
Slide5-pccrM8-1__phase_analysis,signal:0087-0313,227.0,148.825539604,112.027,1990.0,1665.0,2351.0,490.399,312.405,0.249,33783.3284901,151.578539604,33783.3284901,3.235,0.309,0.515
Slide5-pccrM8-1__phase_analysis,signal:0088-0300,75.0,128.538539604,115.762,1950.0,1672.0,2233.0,420.316,299.992,0.681,9640.3904703,118.578539604,9640.3904703,2.628,0.381,0.852
Slide5-pccrM8-1__phase_analysis,signal:0092-0314,93.0,136.245539604,132.941,2040.0,1708.0,2226.0,506.519,313.368,0.485,12670.8041832,141.578539604,12670.8041832,3.656,0.274,0.721
Slide5-pccrM8-1__phase_analysis,signal:0093-0321,88.0,137.567539604,119.704,1881.0,1716.0,2303.0,514.865,322.338,0.511,12105.9114851,142.578539604,12105.9114851,3.414,0.293,0.752
Slide5-pccrM8-1__phase_analysis,signal:0094-0322,154.0,183.688539604,123.85,2013.0,1742.0,2380.0,844.317,322.783,0.352,28288.095099,189.578539604,28288.095099,5.164,0.194,0.668
Slide5-pccrM8-1__phase_analysis,signal:0095-0328,242.0,182.979539604,133.931,2198.0,1712.0,2426.0,761.274,325.764,0.336,44281.0065842,183.578539604,44281.0065842,1.672,0.598,0.592
Slide5-pccrM8-1__phase_analysis,signal:0096-0321,86.0,144.613539604,127.357,1779.0,1744.0,2253.0,955.967,321.565,0.712,12436.7544059,115.578539604,12436.7544059,2.522,0.397,0.901
Slide5-pccrM8-1__phase_analysis,signal:0097-0340,228.0,117.034539604,119.938,1880.0,1676.0,2300.0,313.758,339.564,0.334,26683.9070297,118.578539604,26683.9070297,4.115,0.243,0.686
Slide5-pccrM8-1__phase_analysis,signal:0098-0340,245.0,204.937539604,136.651,1954.0,1673.0,2432.0,725.04,339.281,0.662,50209.742203,208.578539604,50209.742203,2.103,0.475,0.86
Slide5-pccrM8-1__phase_analysis,signal:0099-0339,70.0,225.878539604,153.994,2032.0,1780.0,2427.0,812.528,338.512,0.759,15811.4977723,231.578539604,15811.4977723,2.423,0.413,0.892
Slide5-pccrM8-1__phase_analysis,signal:0101-0356,169.0,184.282539604,135.587,1880.0,1683.0,2579.0,446.284,358.632,0.413,31143.7731931,177.578539604,31143.7731931,1.927,0.519,0.675
Slide5-pccrM8-1__phase_analysis,signal:0102-0361,116.0,147.664539604,108.211,1871.0,1686.0,2303.0,488.353,361.235,0.526,17129.1105941,152.578539604,17129.1105941,3.316,0.302,0.826
Slide5-pccrM8-1__phase_analysis,signal:0103-0360,117.0,198.168539604,138.577,2060.0,1775.0,2453.0,605.942,360.603,0.505,23185.6891337,184.578539604,23185.6891337,3.721,0.269,0.785
Slide5-pccrM8-1__phase_analysis,signal:0104-0355,91.0,143.116539604,123.493,1752.0,1728.0,2230.0,413.751,355.437,0.629,13023.647104,150.578539604,13023.647104,2.883,0.347,0.854
Slide5-pccrM8-1__phase_analysis,signal:0106-0360,65.0,182.224539604,140.152,1985.0,1744.0,2356.0,593.451,359.605,0.705,11844.6050743,182.578539604,11844.6050743,2.571,0.389,0.861
Slide5-pccrM8-1__phase_analysis,signal:0107-0361,90.0,113.356539604,112.662,2025.0,1705.0,2207.0,954.146,360.591,0.577,10202.0685644,108.578539604,10202.0685644,2.944,0.34,0.804
Slide5-pccrM8-1__phase_analysis,signal:0108-0369,115.0,101.178539604,121.952,1870.0,1644.0,2209.0,280.061,368.233,0.585,11635.5320545,108.578539604,11635.5320545,3.144,0.318,0.824
Slide5-pccrM8-1__phase_analysis,signal:0110-0382,95.0,134.641539604,131.94,1884.0,1624.0,2266.0,880.964,381.519,0.549,12790.9612624,133.578539604,12790.9612624,3.053,0.328,0.812
Slide5-pccrM8-1__phase_analysis,signal:0111-0390,166.0,159.548539604,137.634,2049.0,1729.0,2359.0,894.589,391.52,0.278,26485.0375743,161.578539604,26485.0375743,4.62,0.216,0.528
Slide5-pccrM8-1__phase_analysis,signal:0112-0389,136.0,162.718539604,118.856,1962.0,1715.0,2350.0,723.8,390.299,0.437,22129.6813861,158.578539604,22129.6813861,3.823,0.262,0.731
