ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0050-0320,49,49,88.0,6932.102,2211.38,2996.0,2996.0,10459.0,440.356,319.196,0.541,610025.0,7394.0,610025.0,3.494,0.286,0.815
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0051-0322,50,50,93.0,6228.731,1476.576,8276.0,3429.0,9297.0,220.361,323.515,0.56,579272.0,6352.0,579272.0,3.122,0.32,0.778
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0052-0331,51,51,77.0,7972.338,2225.953,3407.0,3407.0,12247.0,294.418,330.816,0.603,613870.0,8321.0,613870.0,2.905,0.344,0.824
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0053-0337,52,53,165.0,6902.091,1761.619,7225.0,2949.0,10927.0,512.091,338.414,0.247,1138845.0,6840.0,1138845.0,3.97,0.252,0.507
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0054-0332,53,52,95.0,6193.474,1638.093,2806.0,2806.0,8851.0,601.838,330.712,0.49,588380.0,6385.0,588380.0,3.311,0.302,0.704
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0055-0339,54,54,98.0,6843.837,1517.377,7291.0,3239.0,10246.0,152.45,338.248,0.555,670696.0,6843.0,670696.0,3.46,0.289,0.784
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0056-0343,55,55,153.0,7581.693,1523.624,8139.0,4222.0,10798.0,80.616,341.793,0.557,1159999.0,7695.0,1159999.0,2.157,0.464,0.785
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0057-0359,56,56,161.0,4265.46,790.005,4002.0,2547.0,5995.0,827.293,358.354,0.482,686739.0,4355.0,686739.0,3.34,0.299,0.724
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0058-0365,57,57,93.0,6786.591,1778.767,7120.0,3200.0,10089.0,407.403,364.562,0.429,631153.0,7120.0,631153.0,4.501,0.222,0.697
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0059-0362,58,59,102.0,3912.51,622.902,3016.0,2586.0,5233.0,893.519,361.974,0.717,399076.0,3997.0,399076.0,2.364,0.423,0.846
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0060-0366,59,58,77.0,6889.974,2012.547,2671.0,2671.0,11150.0,516.898,366.328,0.486,530528.0,6909.0,530528.0,3.436,0.291,0.733
