label,mean IntDen,std IntDen,mean AvgDen,std AvgDen,numCells
slide1-C1,20213.6329772,15101.2462646,172.832698177,101.158175479,368
slide3-C2,11284.3136605,8294.45840346,108.033597509,62.7303389506,256
slide4-C3,20027.971935,9997.06179259,136.067901961,51.5443350165,51
slide5-C4,4531.76321937,2597.26669368,46.3436211979,25.4928732686,82
slide6-C5,54818.0730611,30199.608903,424.123315502,193.26137864,848
slide7-C6,14038.2832327,20386.5699058,109.67782144,121.495887549,10
slide8-C7,9659.57754466,6237.43385984,87.2207579685,36.8951233231,15
slide9-C8,39291.548829,29244.9198416,299.94392436,163.053078122,433
