ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide4-C3-1__phase_analysis,signal:0018-0096,121.0,149.190431373,166.568,1180.0,1012.0,1776.0,724.394,95.886,0.728,18052.0891961,83.3974313725,18052.0891961,2.406,0.416,0.9
slide4-C3-1__phase_analysis,signal:0020-0104,145.0,201.356431373,155.265,1417.0,1035.0,1765.0,940.037,106.142,0.538,29196.627549,187.397431373,29196.627549,2.83,0.353,0.725
slide4-C3-1__phase_analysis,signal:0025-0131,186.0,211.343431373,212.578,1358.0,1036.0,1918.0,718.965,131.305,0.532,39309.9222353,122.397431373,39309.9222353,3.59,0.279,0.845
slide4-C3-1__phase_analysis,signal:0032-0170,241.0,75.6834313725,117.333,1098.0,987.0,1531.0,518.913,168.591,0.57,18239.7809608,62.3974313725,18239.7809608,3.116,0.321,0.786
slide4-C3-1__phase_analysis,signal:0049-0295,227.0,185.838431373,126.349,1520.0,1076.0,1636.0,886.182,292.596,0.396,42185.2169216,190.397431373,42185.2169216,3.465,0.289,0.631
slide4-C3-1__phase_analysis,signal:0057-0339,124.0,182.300431373,143.974,1135.0,1048.0,1624.0,989.27,339.029,0.625,22605.2814902,173.397431373,22605.2814902,2.838,0.352,0.852
slide4-C3-1__phase_analysis,signal:0065-0383,168.0,155.403431373,146.704,1160.0,1014.0,1664.0,607.69,383.328,0.597,26107.7684706,134.397431373,26107.7684706,2.912,0.343,0.891
slide4-C3-1__phase_analysis,signal:0069-0441,117.0,121.482431373,143.091,1174.0,1021.0,1611.0,711.909,441.569,0.758,14213.4994706,81.3974313725,14213.4994706,1.875,0.533,0.867
slide4-C3-1__phase_analysis,signal:0070-0451,114.0,125.222431373,107.98,1126.0,1069.0,1594.0,550.802,450.713,0.652,14275.3071765,123.397431373,14275.3071765,2.46,0.406,0.829
slide4-C3-1__phase_analysis,signal:0071-0460,147.0,204.411431373,147.96,1294.0,1076.0,1710.0,784.693,459.792,0.583,30048.4224118,184.397431373,30048.4224118,3.069,0.326,0.86
slide4-C3-1__phase_analysis,signal:0072-0459,148.0,203.816431373,172.568,1176.0,1043.0,1787.0,651.564,459.771,0.626,30164.8198431,186.397431373,30164.8198431,2.573,0.389,0.815
slide4-C3-1__phase_analysis,signal:0075-0512,122.0,142.528431373,137.765,1217.0,1079.0,1679.0,840.801,511.503,0.691,17388.4866275,115.397431373,17388.4866275,2.44,0.41,0.844
slide4-C3-1__phase_analysis,signal:0079-0527,133.0,178.472431373,140.158,1199.0,1100.0,1658.0,814.533,527.356,0.7,23736.8583725,140.397431373,23736.8583725,2.175,0.46,0.878
slide4-C3-1__phase_analysis,signal:0087-0615,132.0,170.942431373,179.272,1221.0,984.0,1848.0,804.69,615.733,0.601,22564.4609412,127.397431373,22564.4609412,2.74,0.365,0.849
slide4-C3-1__phase_analysis,signal:0091-0652,105.0,81.7404313725,126.279,1164.0,1021.0,1590.0,754.992,652.371,0.747,8582.73029412,59.3974313725,8582.73029412,2.175,0.46,0.894
slide4-C3-1__phase_analysis,signal:0092-0664,234.0,66.6924313725,109.961,1054.0,984.0,1513.0,577.056,667.114,0.433,15605.9989412,46.3974313725,15605.9989412,2.649,0.378,0.668
slide4-C3-1__phase_analysis,signal:0098-0705,168.0,137.022431373,134.756,1118.0,987.0,1596.0,623.079,705.233,0.604,23019.7684706,125.397431373,23019.7684706,2.926,0.342,0.855
slide4-C3-1__phase_analysis,signal:0108-0769,194.0,190.624431373,193.494,1531.0,1035.0,1871.0,887.871,768.521,0.467,36981.1016863,140.397431373,36981.1016863,3.842,0.26,0.87
slide4-C3-1__phase_analysis,signal:0122-0820,133.0,152.886431373,168.442,1059.0,1017.0,1676.0,889.074,819.772,0.745,20333.8583725,111.397431373,20333.8583725,2.348,0.426,0.858
slide4-C3-1__phase_analysis,signal:0124-0819,118.0,131.431431373,130.27,1124.0,1007.0,1593.0,958.28,819.177,0.794,15508.896902,137.397431373,15508.896902,2.182,0.458,0.937
slide4-C3-1__phase_analysis,signal:0130-0843,176.0,118.994431373,136.259,1140.0,1042.0,1606.0,938.546,844.15,0.555,20942.9479216,100.397431373,20942.9479216,3.084,0.324,0.802
slide4-C3-1__phase_analysis,signal:0134-0864,120.0,61.4804313725,111.275,1092.0,984.0,1483.0,548.146,863.174,0.653,7377.69176471,50.3974313725,7377.69176471,2.743,0.365,0.899
slide4-C3-1__phase_analysis,signal:0140-0895,127.0,103.956431373,139.314,1059.0,989.0,1606.0,753.429,894.685,0.709,13202.4737843,73.3974313725,13202.4737843,2.451,0.408,0.898
slide4-C3-1__phase_analysis,signal:0141-0904,188.0,156.333431373,155.958,1133.0,969.0,1675.0,766.803,905.953,0.397,29390.717098,147.397431373,29390.717098,4.03,0.248,0.819
