ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
PxylX_region1_KL__t1_phase_analysis,1,signal:0026-0201,25,-1,81.0,17853.136,6431.0,5487.0,5487.0,28512.0,809.771,201.957,0.617,1446104.0,18487.0,1446104.0,2.946,0.339,0.844
PxylX_region1_KL__t1_phase_analysis,1,signal:0027-0209,26,-1,61.0,22671.475,5060.623,14356.0,12307.0,30761.0,248.767,209.129,0.571,1382960.0,23895.0,1382960.0,3.129,0.32,0.797
PxylX_region1_KL__t1_phase_analysis,1,signal:0028-0211,27,-1,85.0,18718.612,6396.765,26640.0,6391.0,28628.0,585.919,209.958,0.525,1591082.0,20021.0,1591082.0,3.382,0.296,0.746
PxylX_region1_KL__t1_phase_analysis,1,signal:0029-0228,28,-1,56.0,20282.554,3975.016,11730.0,11730.0,27884.0,196.714,227.636,0.62,1135823.0,20535.0,1135823.0,3.212,0.311,0.818
PxylX_region1_KL__t1_phase_analysis,1,signal:0030-0233,29,-1,59.0,24118.356,5622.141,10888.0,10888.0,32275.0,263.838,232.58,0.627,1422983.0,24565.0,1422983.0,2.885,0.347,0.837
PxylX_region1_KL__t1_phase_analysis,1,signal:0031-0230,30,-1,54.0,24717.167,5851.055,11909.0,11909.0,34620.0,397.662,230.234,0.692,1334727.0,25676.0,1334727.0,2.638,0.379,0.931
PxylX_region1_KL__t1_phase_analysis,1,signal:0032-0240,31,-1,73.0,12616.329,5484.377,8739.0,3815.0,22145.0,938.112,240.891,0.73,920992.0,12394.0,920992.0,2.588,0.386,0.901
PxylX_region1_KL__t1_phase_analysis,1,signal:0033-0242,32,-1,105.0,15126.781,5282.718,9511.0,3718.0,23187.0,854.904,241.447,0.534,1588312.0,15269.0,1588312.0,3.252,0.307,0.775
PxylX_region1_KL__t1_phase_analysis,1,signal:0034-0251,33,-1,72.0,21020.431,6187.401,9129.0,9129.0,30551.0,386.861,250.371,0.588,1513471.0,21593.0,1513471.0,3.254,0.307,0.837
PxylX_region1_KL__t1_phase_analysis,1,signal:0035-0247,34,-1,74.0,23695.568,5928.003,10385.0,10385.0,34136.0,434.379,248.593,0.563,1753472.0,24074.0,1753472.0,3.062,0.327,0.787
PxylX_region1_KL__t1_phase_analysis,1,signal:0036-0255,35,-1,94.0,17615.404,6625.401,4770.0,4770.0,27876.0,902.505,254.375,0.587,1655848.0,18020.0,1655848.0,3.108,0.322,0.81
PxylX_region1_KL__t1_phase_analysis,1,signal:0037-0261,36,-1,68.0,24765.088,6408.464,31590.0,11088.0,34229.0,453.782,260.924,0.549,1684026.0,26014.0,1684026.0,3.311,0.302,0.791
PxylX_region1_KL__t1_phase_analysis,1,signal:0038-0276,37,-1,59.0,24188.322,7094.488,10923.0,10923.0,35053.0,416.045,275.97,0.59,1427111.0,25355.0,1427111.0,3.225,0.31,0.792
PxylX_region1_KL__t1_phase_analysis,1,signal:0039-0279,38,-1,77.0,15670.597,5622.107,4390.0,4390.0,25849.0,927.702,279.253,0.712,1206636.0,15568.0,1206636.0,2.711,0.369,0.88
PxylX_region1_KL__t1_phase_analysis,1,signal:0040-0283,39,-1,73.0,19305.521,7952.165,5693.0,5693.0,30237.0,676.601,283.522,0.604,1409303.0,20171.0,1409303.0,3.122,0.32,0.864
PxylX_region1_KL__t1_phase_analysis,1,signal:0041-0284,40,-1,50.0,17347.42,4242.082,10000.0,10000.0,24432.0,161.111,284.141,0.719,867371.0,17693.0,867371.0,2.593,0.386,0.87
PxylX_region1_KL__t1_phase_analysis,1,signal:0042-0303,41,-1,68.0,21787.059,5333.023,11807.0,11807.0,31258.0,32.605,304.255,0.601,1481520.0,22196.0,1481520.0,3.098,0.323,0.814
