ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide6-C5-1__phase_analysis,signal:0001-0010,207.0,300.441045455,253.568,3514.0,2799.0,4242.0,345.839,10.202,0.521,62191.3324091,318.789045455,62191.3324091,2.591,0.386,0.796
slide6-C5-1__phase_analysis,signal:0002-0006,110.0,145.998045455,222.789,2947.0,2729.0,3871.0,466.524,5.939,0.074,16059.795,130.789045455,16059.795,3.961,0.252,0.431
slide6-C5-1__phase_analysis,signal:0003-0008,87.0,289.732045455,258.435,3392.0,2934.0,4083.0,737.042,5.939,0.109,25206.6469545,267.789045455,25206.6469545,1.714,0.583,0.487
slide6-C5-1__phase_analysis,signal:0005-0016,207.0,147.432045455,239.732,3239.0,2779.0,4050.0,487.086,14.866,0.087,30518.3324091,122.789045455,30518.3324091,2.156,0.464,0.516
slide6-C5-1__phase_analysis,signal:0006-0019,188.0,279.582045455,246.761,3451.0,2656.0,4126.0,439.569,18.983,0.561,52561.3405455,295.789045455,52561.3405455,2.375,0.421,0.819
slide6-C5-1__phase_analysis,signal:0007-0021,113.0,669.736045455,362.613,3504.0,2970.0,4607.0,725.441,21.166,0.646,75680.1621364,698.789045455,75680.1621364,2.443,0.409,0.831
slide6-C5-1__phase_analysis,signal:0008-0036,104.0,301.789045455,254.571,3164.0,2987.0,4150.0,649.021,34.773,0.046,31386.0607273,317.789045455,31386.0607273,2.62,0.382,0.28
slide6-C5-1__phase_analysis,signal:0009-0039,143.0,322.390045455,263.851,3323.0,2899.0,4192.0,370.062,39.927,0.672,46101.8335,334.789045455,46101.8335,2.072,0.483,0.891
slide6-C5-1__phase_analysis,signal:0010-0041,128.0,419.867045455,294.624,3378.0,2838.0,4385.0,620.762,40.491,0.499,53742.9978182,408.789045455,53742.9978182,2.276,0.439,0.727
slide6-C5-1__phase_analysis,signal:0011-0042,70.0,276.032045455,238.984,3322.0,2998.0,3974.0,930.293,43.96,0.115,19322.2331818,247.789045455,19322.2331818,2.355,0.425,0.509
