ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Slide4-PccrM7-1__phase_analysis,signal:0001-0016,189.0,119.818114754,121.498,1734.0,1482.0,2076.0,953.6,17.641,0.468,22645.5926885,114.839114754,22645.5926885,3.334,0.3,0.708
Slide4-PccrM7-1__phase_analysis,signal:0002-0014,129.0,92.4441147541,118.48,1768.0,1391.0,2028.0,927.683,15.477,0.545,11925.2458033,85.8391147541,11925.2458033,2.8,0.357,0.746
Slide4-PccrM7-1__phase_analysis,signal:0006-0021,105.0,81.3441147541,94.025,1670.0,1521.0,1908.0,352.627,20.898,0.629,8541.10704918,81.8391147541,8541.10704918,2.837,0.353,0.861
Slide4-PccrM7-1__phase_analysis,signal:0007-0022,105.0,172.334114754,101.659,1756.0,1578.0,2100.0,813.22,22.274,0.645,18095.1070492,173.839114754,18095.1070492,2.82,0.355,0.89
Slide4-PccrM7-1__phase_analysis,signal:0008-0033,96.0,147.318114754,115.404,1623.0,1506.0,2011.0,567.002,34.125,0.639,14142.5550164,143.839114754,14142.5550164,2.601,0.385,0.838
Slide4-PccrM7-1__phase_analysis,signal:0009-0040,117.0,190.754114754,120.35,1739.0,1521.0,2207.0,724.755,40.044,0.555,22318.1764262,180.839114754,22318.1764262,3.467,0.288,0.815
Slide4-PccrM7-1__phase_analysis,signal:0010-0045,102.0,134.761114754,109.434,1896.0,1457.0,2049.0,426.629,45.885,0.661,13745.5897049,135.839114754,13745.5897049,2.767,0.361,0.857
Slide4-PccrM7-1__phase_analysis,signal:0012-0061,136.0,133.861114754,94.519,1668.0,1528.0,2008.0,419.678,62.735,0.418,18205.1196066,123.839114754,18205.1196066,3.195,0.313,0.64
Slide4-PccrM7-1__phase_analysis,signal:0015-0080,153.0,184.924114754,99.215,1848.0,1485.0,2127.0,560.682,81.611,0.404,28293.3845574,174.839114754,28293.3845574,3.909,0.256,0.644
Slide4-PccrM7-1__phase_analysis,signal:0016-0083,81.0,185.086114754,102.824,1705.0,1564.0,2158.0,773.598,82.847,0.694,14991.9682951,178.839114754,14991.9682951,2.524,0.396,0.853
