ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide8-C7-1__phase_analysis,signal:0067-0369,85.0,132.275957968,309.906,3618.0,2720.0,4339.0,886.093,369.05,0.578,11243.4914273,136.146957968,11243.4914273,3.245,0.308,0.863
slide8-C7-1__phase_analysis,signal:0087-0467,149.0,120.576957968,326.55,3114.0,2966.0,4551.0,788.995,466.809,0.538,17965.8967373,142.146957968,17965.8967373,1.141,0.876,0.723
slide8-C7-1__phase_analysis,signal:0090-0477,92.0,45.9399579685,344.894,3247.0,2766.0,4321.0,963.563,477.838,0.59,4226.5201331,101.146957968,4226.5201331,2.95,0.339,0.8
slide8-C7-1__phase_analysis,signal:0091-0477,70.0,140.532957968,299.635,3637.0,3022.0,4491.0,854.643,476.599,0.635,9837.28705779,180.146957968,9837.28705779,2.78,0.36,0.848
slide8-C7-1__phase_analysis,signal:0092-0486,136.0,117.367957968,370.259,3199.0,2910.0,4620.0,831.411,486.1,0.941,15961.9862837,139.146957968,15961.9862837,1.556,0.643,0.951
slide8-C7-1__phase_analysis,signal:0095-0521,92.0,60.2769579685,294.218,3077.0,2961.0,4506.0,973.205,521.014,0.596,5545.5201331,76.1469579685,5545.5201331,3.015,0.332,0.915
slide8-C7-1__phase_analysis,signal:0109-0601,90.0,123.146957968,286.927,3356.0,3012.0,4494.0,851.358,601.689,0.52,11083.2262172,109.146957968,11083.2262172,3.289,0.304,0.796
slide8-C7-1__phase_analysis,signal:0128-0710,98.0,100.799957968,337.663,3489.0,2895.0,4465.0,847.801,710.795,0.561,9878.40188091,142.146957968,9878.40188091,3.473,0.288,0.856
slide8-C7-2__phase_analysis,signal:0083-0459,115.0,110.624957968,324.817,3399.0,2977.0,4490.0,969.951,459.632,0.46,12721.9001664,72.1469579685,12721.9001664,4.081,0.245,0.762
slide8-C7-2__phase_analysis,signal:0086-0473,54.0,43.8319579685,239.506,3539.0,2826.0,4056.0,467.295,473.154,0.661,2366.9357303,45.1469579685,2366.9357303,2.725,0.367,0.818
slide8-C7-2__phase_analysis,signal:0088-0479,90.0,46.9469579685,269.364,3367.0,3083.0,4211.0,859.342,479.512,0.502,4225.22621716,71.1469579685,4225.22621716,3.246,0.308,0.756
slide8-C7-2__phase_analysis,signal:0098-0532,93.0,55.3619579685,310.134,3709.0,2781.0,4311.0,574.349,530.8,0.42,5148.66709107,83.1469579685,5148.66709107,3.571,0.28,0.633
slide8-C7-2__phase_analysis,signal:0101-0547,226.0,109.394957968,329.737,3012.0,2909.0,4502.0,843.362,547.506,0.463,24723.2125009,96.1469579685,24723.2125009,1.315,0.76,0.687
slide8-C7-2__phase_analysis,signal:0110-0613,125.0,47.4589579685,336.248,3232.0,2962.0,4409.0,972.103,615.399,0.381,5932.36974606,41.1469579685,5932.36974606,3.386,0.295,0.608
slide8-C7-3__phase_analysis,signal:0062-0461,75.0,53.7739579685,287.628,3473.0,2938.0,4244.0,729.61,461.696,0.588,4033.02184764,24.1469579685,4033.02184764,2.879,0.347,0.838
