ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide1-C1-1__phase_analysis,signal:0005-0030,55.0,265.952092199,287.032,1078.0,1078.0,2295.0,707.135,30.499,0.778,14627.3850709,303.316092199,14627.3850709,2.217,0.451,0.859
slide1-C1-1__phase_analysis,signal:0008-0046,86.0,197.130092199,308.272,1805.0,1094.0,2226.0,636.352,46.985,0.647,16953.1839291,215.316092199,16953.1839291,2.839,0.352,0.843
slide1-C1-1__phase_analysis,signal:0009-0047,113.0,198.015092199,317.13,1205.0,1115.0,2227.0,669.725,45.697,0.51,22375.7184184,244.316092199,22375.7184184,3.086,0.324,0.713
slide1-C1-1__phase_analysis,signal:0010-0050,89.0,130.260092199,272.622,1259.0,1155.0,2171.0,736.92,49.792,0.592,11593.1322057,128.316092199,11593.1322057,2.953,0.339,0.817
slide1-C1-1__phase_analysis,signal:0011-0057,128.0,241.878092199,322.569,1546.0,1155.0,2463.0,557.595,55.501,0.374,30960.4598014,235.316092199,30960.4598014,3.519,0.284,0.595
slide1-C1-1__phase_analysis,signal:0013-0068,211.0,286.809092199,347.44,1356.0,1136.0,2541.0,542.129,66.972,0.259,60516.6954539,254.316092199,60516.6954539,1.385,0.722,0.518
slide1-C1-1__phase_analysis,signal:0014-0067,147.0,247.044092199,274.114,2004.0,1198.0,2304.0,767.497,69.511,0.343,36315.4655532,270.316092199,36315.4655532,2.973,0.336,0.563
slide1-C1-1__phase_analysis,signal:0015-0070,133.0,288.677092199,304.958,1284.0,1166.0,2233.0,795.899,70.507,0.427,38394.0402624,352.316092199,38394.0402624,3.352,0.298,0.686
slide1-C1-1__phase_analysis,signal:0017-0071,90.0,55.1490921986,214.048,1757.0,1171.0,1897.0,713.603,70.869,0.615,4963.44829787,12.3160921986,4963.44829787,3.125,0.32,0.845
slide1-C1-1__phase_analysis,signal:0022-0092,132.0,142.536092199,212.043,1275.0,1233.0,2071.0,355.973,93.237,0.462,18814.7241702,159.316092199,18814.7241702,4.465,0.224,0.786
slide1-C1-1__phase_analysis,signal:0029-0107,79.0,328.784092199,300.839,1364.0,1233.0,2356.0,559.877,107.689,0.708,25973.9712837,355.316092199,25973.9712837,2.514,0.398,0.863
slide1-C1-1__phase_analysis,signal:0030-0111,111.0,125.595092199,199.888,1321.0,1180.0,2005.0,602.697,113.099,0.484,13941.086234,166.316092199,13941.086234,2.682,0.373,0.679
slide1-C1-1__phase_analysis,signal:0035-0129,62.0,171.671092199,272.247,1163.0,1163.0,2199.0,611.988,129.375,0.771,10643.5977163,124.316092199,10643.5977163,2.306,0.434,0.892
slide1-C1-1__phase_analysis,signal:0038-0144,118.0,108.613092199,276.638,1437.0,1137.0,2162.0,564.685,142.546,0.474,12816.2988794,100.316092199,12816.2988794,3.191,0.313,0.684
slide1-C1-1__phase_analysis,signal:0041-0165,155.0,276.639092199,367.578,1413.0,1155.0,2628.0,596.063,165.029,0.429,42878.9942908,235.316092199,42878.9942908,2.938,0.34,0.67
slide1-C1-1__phase_analysis,signal:0042-0175,144.0,60.6980921986,190.076,1753.0,1148.0,1970.0,780.794,172.995,0.365,8740.5172766,67.3160921986,8740.5172766,3.515,0.285,0.61
slide1-C1-1__phase_analysis,signal:0044-0170,61.0,195.152092199,246.982,1692.0,1065.0,2106.0,640.583,169.975,0.731,11904.2816241,225.316092199,11904.2816241,2.163,0.462,0.859
slide1-C1-1__phase_analysis,signal:0047-0187,203.0,266.336092199,249.834,1810.0,1141.0,2309.0,691.88,188.025,0.624,54066.1667163,288.316092199,54066.1667163,2.06,0.486,0.806
slide1-C1-1__phase_analysis,signal:0048-0194,123.0,330.885092199,307.085,1752.0,1273.0,2420.0,710.149,195.625,0.417,40698.8793404,307.316092199,40698.8793404,3.569,0.28,0.703
slide1-C1-1__phase_analysis,signal:0049-0201,172.0,90.1760921986,204.748,1640.0,1146.0,1979.0,424.705,202.922,0.347,15510.3678582,99.3160921986,15510.3678582,2.652,0.377,0.558
slide1-C1-1__phase_analysis,signal:0054-0227,92.0,52.6310921986,180.229,1297.0,1124.0,1927.0,596.273,227.377,0.566,4842.08048227,58.3160921986,4842.08048227,3.138,0.319,0.79
slide1-C1-1__phase_analysis,signal:0055-0230,141.0,131.770092199,225.686,1292.0,1114.0,2124.0,860.54,228.433,0.407,18579.569,168.316092199,18579.569,2.085,0.48,0.59
slide1-C1-1__phase_analysis,signal:0057-0243,202.0,74.1630921986,185.118,1548.0,1183.0,1996.0,461.006,245.373,0.365,14980.8506241,75.3160921986,14980.8506241,2.905,0.344,0.58
slide1-C1-1__phase_analysis,signal:0061-0254,240.0,289.399092199,216.843,1694.0,1174.0,2213.0,421.157,253.636,0.216,69455.8621277,305.316092199,69455.8621277,1.598,0.626,0.628
slide1-C1-1__phase_analysis,signal:0064-0256,129.0,52.2070921986,211.494,1444.0,1044.0,2000.0,611.877,254.043,0.401,6734.77589362,35.3160921986,6734.77589362,3.523,0.284,0.622
slide1-C1-1__phase_analysis,signal:0068-0268,74.0,406.019092199,338.527,1901.0,1201.0,2468.0,647.861,268.7,0.612,30045.3908227,434.316092199,30045.3908227,2.862,0.349,0.841
slide1-C1-1__phase_analysis,signal:0070-0281,117.0,162.837092199,217.446,1546.0,1191.0,2152.0,808.844,282.937,0.505,19051.9827872,178.316092199,19051.9827872,3.205,0.312,0.736
slide1-C1-1__phase_analysis,signal:0071-0283,125.0,204.372092199,246.205,1411.0,1159.0,2253.0,440.192,284.328,0.506,25546.5115248,210.316092199,25546.5115248,2.934,0.341,0.718
slide1-C1-1__phase_analysis,signal:0074-0289,84.0,193.387092199,226.552,1551.0,1192.0,2069.0,730.104,289.351,0.607,16244.5517447,213.316092199,16244.5517447,3.012,0.332,0.828
slide1-C1-1__phase_analysis,signal:0075-0300,126.0,188.999092199,301.558,1304.0,1148.0,2433.0,639.687,299.784,0.405,23813.827617,142.316092199,23813.827617,3.447,0.29,0.655
slide1-C1-1__phase_analysis,signal:0077-0311,166.0,202.617092199,255.072,2005.0,1091.0,2170.0,667.305,308.411,0.289,33634.471305,210.316092199,33634.471305,3.148,0.318,0.485
slide1-C1-1__phase_analysis,signal:0081-0313,61.0,106.398092199,243.061,1307.0,1122.0,2115.0,803.145,313.149,0.716,6490.28162411,100.316092199,6490.28162411,2.456,0.407,0.904
slide1-C1-1__phase_analysis,signal:0086-0329,56.0,417.512092199,357.1,1304.0,1304.0,2432.0,646.284,328.705,0.711,23380.7011631,476.316092199,23380.7011631,2.491,0.401,0.83
slide1-C1-1__phase_analysis,signal:0088-0343,138.0,220.722092199,285.062,1529.0,1160.0,2352.0,425.028,344.765,0.396,30459.6207234,178.316092199,30459.6207234,2.747,0.364,0.63
slide1-C1-1__phase_analysis,signal:0091-0348,92.0,147.577092199,189.034,1540.0,1238.0,2011.0,946.233,347.156,0.577,13577.0804823,154.316092199,13577.0804823,3.234,0.309,0.825
slide1-C1-1__phase_analysis,signal:0093-0371,79.0,297.683092199,261.131,1903.0,1137.0,2223.0,774.873,371.686,0.532,23516.9712837,349.316092199,23516.9712837,3.196,0.313,0.775
slide1-C1-1__phase_analysis,signal:0096-0391,154.0,137.063092199,237.466,1925.0,1141.0,2159.0,393.049,388.872,0.363,21107.6781986,97.3160921986,21107.6781986,3.889,0.257,0.587
slide1-C1-1__phase_analysis,signal:0098-0394,105.0,342.992092199,346.151,1346.0,1247.0,2496.0,702.911,394.116,0.507,36014.1896809,347.316092199,36014.1896809,3.048,0.328,0.755
slide1-C1-1__phase_analysis,signal:0101-0405,105.0,115.640092199,243.803,1342.0,1149.0,2176.0,575.427,405.313,0.422,12142.1896809,79.3160921986,12142.1896809,3.55,0.282,0.654
slide1-C1-1__phase_analysis,signal:0102-0403,72.0,337.719092199,398.254,1255.0,1189.0,2670.0,724.279,404.542,0.558,24315.7586383,314.316092199,24315.7586383,3.227,0.31,0.774
slide1-C1-1__phase_analysis,signal:0103-0401,63.0,303.570092199,244.757,1688.0,1219.0,2215.0,832.765,401.528,0.679,19124.9138085,295.316092199,19124.9138085,2.883,0.347,0.926
slide1-C1-1__phase_analysis,signal:0105-0414,126.0,193.483092199,224.935,1511.0,1179.0,2161.0,592.672,415.383,0.384,24378.827617,208.316092199,24378.827617,3.675,0.272,0.618
slide1-C1-1__phase_analysis,signal:0111-0430,107.0,263.914092199,221.51,1451.0,1212.0,2172.0,872.64,429.09,0.466,28238.8218652,299.316092199,28238.8218652,3.484,0.287,0.721
slide1-C1-1__phase_analysis,signal:0112-0438,178.0,248.091092199,224.968,1777.0,1170.0,2313.0,772.783,438.197,0.206,44160.2644113,240.316092199,44160.2644113,1.84,0.544,0.47
slide1-C1-1__phase_analysis,signal:0114-0447,123.0,253.536092199,326.14,1411.0,1218.0,2576.0,633.842,445.971,0.397,31184.8793404,229.316092199,31184.8793404,4.241,0.236,0.636
slide1-C1-1__phase_analysis,signal:0115-0463,116.0,150.557092199,246.814,1598.0,1168.0,2085.0,572.054,463.003,0.438,17464.666695,122.316092199,17464.666695,3.083,0.324,0.701
slide1-C1-1__phase_analysis,signal:0119-0465,106.0,394.231092199,329.171,1552.0,1277.0,2550.0,541.92,465.067,0.417,41788.505773,427.316092199,41788.505773,4.065,0.246,0.695
slide1-C1-1__phase_analysis,signal:0121-0470,72.0,293.649092199,317.146,1349.0,1271.0,2395.0,648.375,470.257,0.74,21142.7586383,314.316092199,21142.7586383,2.382,0.42,0.873
slide1-C1-1__phase_analysis,signal:0125-0486,55.0,26.1160921986,219.607,1267.0,1164.0,2118.0,561.207,485.293,0.699,1436.38507092,-16.6839078014,1436.38507092,2.791,0.358,0.853
slide1-C1-1__phase_analysis,signal:0127-0492,63.0,160.237092199,304.437,1282.0,1090.0,2335.0,669.236,492.316,0.844,10094.9138085,92.3160921986,10094.9138085,1.967,0.508,0.881
slide1-C1-1__phase_analysis,signal:0130-0512,140.0,178.495092199,233.587,1703.0,1205.0,2235.0,448.901,512.827,0.442,24989.2529078,186.316092199,24989.2529078,3.916,0.255,0.705
slide1-C1-1__phase_analysis,signal:0131-0509,85.0,318.269092199,252.779,1368.0,1234.0,2282.0,721.013,509.112,0.611,27052.8678369,364.316092199,27052.8678369,2.958,0.338,0.833
slide1-C1-1__phase_analysis,signal:0133-0516,109.0,185.325092199,185.673,1479.0,1183.0,2032.0,763.42,517.594,0.438,20200.4540496,228.316092199,20200.4540496,2.991,0.334,0.657
slide1-C1-1__phase_analysis,signal:0136-0527,94.0,180.710092199,188.418,1551.0,1197.0,2116.0,477.016,525.844,0.474,16986.7126667,213.316092199,16986.7126667,3.338,0.3,0.696
slide1-C1-1__phase_analysis,signal:0137-0528,73.0,49.9050921986,214.885,1176.0,1176.0,2091.0,514.274,528.178,0.662,3643.0747305,-4.68390780142,3643.0747305,2.649,0.378,0.854
slide1-C1-1__phase_analysis,signal:0141-0550,84.0,29.5420921986,225.13,1191.0,1147.0,2163.0,601.601,550.709,0.6,2481.55174468,-20.6839078014,2481.55174468,3.223,0.31,0.832
slide1-C1-1__phase_analysis,signal:0145-0575,192.0,400.748092199,394.192,1830.0,1209.0,2758.0,868.865,573.72,0.316,76943.6897021,382.316092199,76943.6897021,4.012,0.249,0.61
slide1-C1-1__phase_analysis,signal:0146-0569,84.0,343.554092199,281.914,1357.0,1214.0,2338.0,692.064,569.792,0.643,28858.5517447,374.316092199,28858.5517447,2.884,0.347,0.824
slide1-C1-1__phase_analysis,signal:0148-0574,71.0,80.4150921986,252.978,1323.0,1146.0,2132.0,567.978,574.412,0.72,5709.4425461,14.3160921986,5709.4425461,2.542,0.393,0.871
slide1-C1-1__phase_analysis,signal:0150-0584,63.0,471.316092199,372.688,1885.0,1233.0,2654.0,749.192,583.148,0.683,29692.9138085,529.316092199,29692.9138085,2.638,0.379,0.846
slide1-C1-1__phase_analysis,signal:0153-0611,73.0,151.357092199,279.604,1326.0,1163.0,2105.0,870.412,611.976,0.684,11049.0747305,107.316092199,11049.0747305,2.58,0.388,0.849
slide1-C1-1__phase_analysis,signal:0154-0611,67.0,198.704092199,351.947,1250.0,1225.0,2452.0,634.435,611.746,0.692,13313.1781773,96.3160921986,13313.1781773,2.517,0.397,0.843
